id_bioguide,term_number,term_id,term_type,term_start,term_end,state,district,class,party,how,url,address,phone,fax,contact_form,office,state_rank,rss_url,caucus
A000003,3,A000003-3,rep,1823-12-01,1825-03-03,GA,-1,NULL,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000004,0,A000004-0,rep,1843-12-04,1845-03-03,MA,3,NULL,Whig,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000004,1,A000004-1,rep,1845-12-01,1847-03-03,MA,3,NULL,Whig,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000004,2,A000004-2,rep,1847-12-06,1849-03-03,MA,3,NULL,Whig,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000005,0,A000005-0,rep,1887-12-05,1889-03-03,TX,6,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000005,1,A000005-1,rep,1889-12-02,1891-03-03,TX,6,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000005,2,A000005-2,rep,1891-12-07,1893-03-03,TX,6,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000005,3,A000005-3,rep,1893-08-07,1895-03-03,TX,6,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000005,4,A000005-4,rep,1895-12-02,1897-03-03,TX,6,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000006,0,A000006-0,sen,1868-01-01,1871-03-03,NC,NULL,2,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000007,0,A000007-0,rep,1875-12-06,1877-03-03,MA,4,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000008,0,A000008-0,rep,1857-12-07,1859-03-03,ME,3,NULL,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000009,0,A000009-0,rep,1973-01-03,1975-01-03,SD,2,NULL,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000009,1,A000009-1,rep,1975-01-14,1977-01-03,SD,2,NULL,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000009,2,A000009-2,rep,1977-01-04,1979-01-03,SD,2,NULL,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000009,3,A000009-3,rep,1979-01-15,1981-01-03,SD,2,NULL,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000009,4,A000009-4,sen,1981-01-05,1987-01-03,SD,NULL,3,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000010,0,A000010-0,sen,1954-01-01,1955-01-03,NE,NULL,2,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000011,0,A000011-0,rep,1963-01-09,1965-01-03,OH,10,NULL,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000012,0,A000012-0,rep,1851-12-01,1853-03-03,AL,2,NULL,Whig,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000012,1,A000012-1,rep,1853-12-05,1855-03-03,AL,2,NULL,Whig,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000013,0,A000013-0,rep,1913-04-07,1915-03-03,AL,-1,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000013,1,A000013-1,rep,1915-12-06,1917-03-03,AL,-1,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000014,0,A000014-0,rep,1985-01-03,1987-01-03,HI,1,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000014,1,A000014-1,rep,1991-01-03,1993-01-03,HI,1,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000014,2,A000014-2,rep,1993-01-05,1995-01-03,HI,1,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000014,3,A000014-3,rep,1995-01-04,1997-01-03,HI,1,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000014,4,A000014-4,rep,1997-01-07,1999-01-03,HI,1,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000014,5,A000014-5,rep,1999-01-06,2001-01-03,HI,1,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000014,6,A000014-6,rep,2001-01-03,2003-01-03,HI,1,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000014,7,A000014-7,rep,2003-01-07,2005-01-03,HI,1,NULL,Democrat,"Not Given",http://www.house.gov/abercrombie,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000014,8,A000014-8,rep,2005-01-04,2007-01-03,HI,1,NULL,Democrat,"Not Given",http://www.house.gov/abercrombie,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000014,9,A000014-9,rep,2007-01-04,2009-01-03,HI,1,NULL,Democrat,"Not Given",http://www.house.gov/abercrombie,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000014,10,A000014-10,rep,2009-01-06,2010-03-01,HI,1,NULL,Democrat,"Not Given",http://www.house.gov/abercrombie,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000015,0,A000015-0,rep,1921-04-11,1923-03-03,NC,3,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000015,1,A000015-1,rep,1923-12-03,1925-03-03,NC,3,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000015,2,A000015-2,rep,1925-12-07,1927-03-04,NC,3,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000015,3,A000015-3,rep,1927-12-05,1929-03-03,NC,3,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000015,4,A000015-4,rep,1929-04-15,1931-03-03,NC,3,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000015,5,A000015-5,rep,1931-12-07,1933-03-03,NC,3,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000015,6,A000015-6,rep,1933-03-09,1935-01-03,NC,3,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000016,0,A000016-0,rep,1943-01-06,1945-01-03,MS,4,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000016,1,A000016-1,rep,1945-01-03,1947-01-03,MS,4,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000016,2,A000016-2,rep,1947-01-03,1949-01-03,MS,4,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000016,3,A000016-3,rep,1949-01-03,1951-01-03,MS,4,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000016,4,A000016-4,rep,1951-01-03,1953-01-03,MS,4,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000016,5,A000016-5,rep,1953-01-03,1955-01-03,MS,1,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000016,6,A000016-6,rep,1955-01-05,1957-01-03,MS,1,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000016,7,A000016-7,rep,1957-01-03,1959-01-03,MS,1,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000016,8,A000016-8,rep,1959-01-07,1961-01-03,MS,1,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000016,9,A000016-9,rep,1961-01-03,1963-01-03,MS,1,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000016,10,A000016-10,rep,1963-01-09,1965-01-03,MS,1,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000016,11,A000016-11,rep,1965-01-04,1967-01-03,MS,1,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000016,12,A000016-12,rep,1967-01-10,1969-01-03,MS,1,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000016,13,A000016-13,rep,1969-01-03,1971-01-03,MS,1,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000016,14,A000016-14,rep,1971-01-21,1973-01-03,MS,1,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000017,0,A000017-0,rep,1971-01-21,1973-01-03,SD,2,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000017,1,A000017-1,sen,1973-01-03,1979-01-03,SD,NULL,2,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000018,0,A000018-0,rep,1971-01-21,1973-01-03,NY,19,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000018,1,A000018-1,rep,1973-01-03,1975-01-03,NY,20,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000018,2,A000018-2,rep,1975-01-14,1977-01-03,NY,20,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000019,0,A000019-0,rep,1895-12-02,1897-03-03,PA,24,NULL,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000019,1,A000019-1,rep,1897-03-15,1899-03-03,PA,24,NULL,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000019,2,A000019-2,rep,1899-12-04,1901-03-03,PA,24,NULL,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000019,3,A000019-3,rep,1901-12-02,1903-03-03,PA,24,NULL,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000019,4,A000019-4,rep,1903-11-09,1905-03-03,PA,24,NULL,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000019,5,A000019-5,rep,1905-12-04,1907-03-03,PA,24,NULL,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000019,6,A000019-6,rep,1907-12-02,1909-03-03,PA,24,NULL,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000020,0,A000020-0,rep,1871-03-04,1873-03-03,PA,6,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000021,0,A000021-0,rep,1919-05-19,1921-03-03,NJ,5,NULL,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000021,1,A000021-1,rep,1921-04-11,1923-03-03,NJ,5,NULL,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000021,2,A000021-2,rep,1923-12-03,1925-03-03,NJ,5,NULL,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000021,3,A000021-3,rep,1925-12-07,1927-03-04,NJ,5,NULL,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000021,4,A000021-4,rep,1927-12-05,1929-03-03,NJ,5,NULL,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000021,5,A000021-5,rep,1929-04-15,1931-03-03,NJ,5,NULL,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000021,6,A000021-6,rep,1931-12-07,1933-03-03,NJ,5,NULL,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000022,0,A000022-0,rep,1983-01-03,1985-01-03,NY,7,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000022,1,A000022-1,rep,1985-01-03,1987-01-03,NY,7,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000022,2,A000022-2,rep,1987-01-06,1989-01-03,NY,7,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000022,3,A000022-3,rep,1989-01-03,1991-01-03,NY,7,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000022,4,A000022-4,rep,1991-01-03,1993-01-03,NY,7,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000022,5,A000022-5,rep,1993-01-05,1995-01-03,NY,5,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000022,6,A000022-6,rep,1995-01-04,1997-01-03,NY,5,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000022,7,A000022-7,rep,1997-01-07,1999-01-03,NY,5,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000022,8,A000022-8,rep,1999-01-06,2001-01-03,NY,5,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000022,9,A000022-9,rep,2001-01-03,2003-01-03,NY,5,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000022,10,A000022-10,rep,2003-01-07,2005-01-03,NY,5,NULL,Democrat,"Not Given",http://www.house.gov/ackerman,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000022,11,A000022-11,rep,2005-01-04,2007-01-03,NY,5,NULL,Democrat,"Not Given",http://www.house.gov/ackerman,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000022,12,A000022-12,rep,2007-01-04,2009-01-03,NY,5,NULL,Democrat,"Not Given",http://www.house.gov/ackerman,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000022,13,A000022-13,rep,2009-01-06,2011-01-03,NY,5,NULL,Democrat,"Not Given",http://ackerman.house.gov/,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000022,14,A000022-14,rep,2011-01-05,2013-01-03,NY,5,NULL,Democrat,"Not Given",http://ackerman.house.gov/,"2111 Rayburn HOB; Washington DC 20515-3205",202-225-2601,202-225-1589,http://www.house.gov/writerep,"2111 Rayburn House Office Building","Not Given","Not Given","Not Given"
A000023,0,A000023-0,rep,1877-10-15,1879-03-03,LA,3,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000023,1,A000023-1,rep,1879-03-18,1881-03-03,LA,3,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000024,0,A000024-0,rep,1951-01-03,1953-01-03,IN,4,NULL,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000024,1,A000024-1,rep,1953-01-03,1955-01-03,IN,4,NULL,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000024,2,A000024-2,rep,1955-01-05,1957-01-03,IN,4,NULL,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000024,3,A000024-3,rep,1957-01-03,1959-01-03,IN,4,NULL,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000024,4,A000024-4,rep,1959-01-07,1961-01-03,IN,4,NULL,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000024,5,A000024-5,rep,1961-01-03,1963-01-03,IN,4,NULL,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000024,6,A000024-6,rep,1963-01-09,1965-01-03,IN,4,NULL,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000024,7,A000024-7,rep,1965-01-04,1967-01-03,IN,4,NULL,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000024,8,A000024-8,rep,1967-01-10,1969-01-03,IN,4,NULL,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000024,9,A000024-9,rep,1969-01-03,1971-01-03,IN,4,NULL,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000025,0,A000025-0,rep,1933-03-09,1935-01-03,IL,15,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000025,1,A000025-1,rep,1935-01-03,1937-01-03,IL,15,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000026,0,A000026-0,sen,1805-12-02,1807-03-03,KY,NULL,3,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000026,1,A000026-1,rep,1831-12-05,1833-03-03,KY,7,NULL,Jackson,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000027,0,A000027-0,rep,1907-12-02,1909-03-03,IN,8,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000027,1,A000027-1,rep,1909-03-15,1911-03-03,IN,8,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000027,2,A000027-2,rep,1911-04-04,1913-03-03,IN,8,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000027,3,A000027-3,rep,1913-04-07,1915-03-03,IN,8,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000027,4,A000027-4,rep,1915-12-06,1917-03-03,IN,8,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000028,0,A000028-0,sen,1923-12-03,1925-03-03,CO,NULL,3,Democrat,appointment,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000028,1,A000028-1,sen,1933-03-09,1939-01-03,CO,NULL,3,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000028,2,A000028-2,sen,1939-01-03,1941-12-31,CO,NULL,3,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000030,0,A000030-0,rep,1815-12-04,1817-03-03,MA,11,NULL,Federalist,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000030,1,A000030-1,rep,1817-12-01,1819-03-03,MA,11,NULL,Federalist,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000030,2,A000030-2,rep,1819-12-06,1821-03-03,MA,11,NULL,Federalist,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000031,0,A000031-0,rep,1965-01-04,1967-01-03,WA,7,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000031,1,A000031-1,rep,1967-01-10,1969-01-03,WA,7,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000031,2,A000031-2,rep,1969-01-03,1971-01-03,WA,7,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000031,3,A000031-3,rep,1971-01-21,1973-01-03,WA,7,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000031,4,A000031-4,rep,1973-01-03,1975-01-03,WA,7,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000031,5,A000031-5,rep,1975-01-14,1977-01-03,WA,7,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000031,6,A000031-6,rep,1977-01-04,1979-01-03,WA,7,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000031,7,A000031-7,sen,1987-01-06,1993-01-03,WA,NULL,3,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000032,0,A000032-0,rep,1859-12-05,1861-03-03,MA,3,NULL,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
