full_name,first_name,last_name,middle_name,nickname,suffix,other_names_end,other_names_middle,other_names_last,birthday,gender,id_bioguide,id_govtrack,id_icpsr,id_wikipedia,id_wikidata,id_google_entity_id,id_house_history,id_thomas,id_cspan,id_votesmart,id_lis,id_ballotpedia,id_opensecrets,id_fec_0,id_fec_1,id_fec_2
"Mark R. Warner",Mark,Warner,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1954-12-15,Male,W000805,412321,40909,"Mark Warner",Q453893,kg:/m/024mm1,NULL,1897,7630,535,S327,"Mark Warner",N00002097,S6VA00093,P80003023,"Not Given"
"Kirsten E. Gillibrand",Kirsten,Gillibrand,E.,"Not Given","Not Given","Not Given","Not Given","Not Given",1966-12-09,Female,G000555,412223,20735,"Kirsten Gillibrand",Q22222,kg:/m/0gnfc4,14269,1866,1022862,65147,S331,"Kirsten Gillibrand",N00027658,H6NY20167,S0NY00410,"Not Given"
"Christopher A. Coons",Chris,Coons,Andrew,"Not Given","Not Given","Not Given","Not Given","Not Given",1963-09-09,Male,C001088,412390,40916,"Chris Coons",Q923242,kg:/m/082d3d,NULL,1984,9269028,122834,S337,"Chris Coons",N00031820,S0DE00092,"Not Given","Not Given"
"Joe Manchin, III",Joe,Manchin,"Not Given","Not Given",III,"Not Given","Not Given","Not Given",1947-08-24,Male,M001183,412391,40915,"Joe Manchin",Q538868,kg:/m/04lc5t,NULL,1983,62864,7547,S338,"Joe Manchin III",N00032838,S0WV00090,"Not Given","Not Given"
"Ted Lieu",Ted,Lieu,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1969-03-29,Male,L000582,412616,21507,"Ted Lieu",Q7693450,kg:/m/0f3y2w,NULL,2230,28076,1516,"Not Given","Ted Lieu",N00035825,H4CA33119,"Not Given","Not Given"
"Robert B. Aderholt",Robert,Aderholt,B.,"Not Given","Not Given","Not Given","Not Given","Not Given",1965-07-22,Male,A000055,400004,29701,"Robert Aderholt",Q672671,kg:/m/024p03,8333,1460,45516,441,"Not Given","Robert B. Aderholt",N00003028,H6AL04098,"Not Given","Not Given"
"Justin Amash",Justin,Amash,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1980-04-18,Male,A000367,412438,21143,"Justin Amash",Q1714165,kg:/m/0c00p_n,8769,2029,1033767,105566,"Not Given","Justin Amash",N00031938,H0MI03126,"Not Given","Not Given"
"Tammy Baldwin",Tammy,Baldwin,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1962-02-11,Female,B001230,400013,29940,"Tammy Baldwin",Q40628,kg:/m/024v02,10361,1558,57884,3470,S354,"Tammy Baldwin",N00004367,H8WI00018,S2WI00219,"Not Given"
"Karen Bass",Karen,Bass,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1953-10-03,Female,B001270,412404,21110,"Karen Bass",Q461739,kg:/m/027g9m6,10433,1996,62502,28963,"Not Given","Not Given",N00031877,H0CA33117,"Not Given","Not Given"
"Michael F. Bennet",Michael,Bennet,F.,"Not Given","Not Given","Not Given","Not Given","Not Given",1964-11-28,Male,B001267,412330,40910,"Michael Bennet",Q554792,kg:/m/05b60qf,NULL,1965,1031622,110942,S330,"Michael Bennet",N00030608,S0CO00211,"Not Given","Not Given"
"William Floyd",William,Floyd,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,F000224,404179,3237,"William Floyd",Q1381060,kg:/m/01mpvf,13251,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Paul Cook",Paul,Cook,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1943-03-03,Male,C001094,412513,21305,"Paul Cook (politician)",Q3408766,kg:/m/0288t_6,NULL,2103,68278,58121,"Not Given","Paul Cook",N00034224,H2CA08164,"Not Given","Not Given"
"Gus M. Bilirakis",Gus,Bilirakis,M.,"Not Given","Not Given","Not Given","Not Given","Not Given",1963-02-08,Male,B001257,412250,20758,"Gus Bilirakis",Q1555314,kg:/m/0dy3z1,10413,1838,1022873,17318,"Not Given","Gus M. Bilirakis",N00027462,H6FL09070,"Not Given","Not Given"
"Rob Bishop",Rob,Bishop,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1951-07-13,Male,B001250,400029,20357,"Rob Bishop",Q433857,kg:/m/02tn41,10399,1753,1003621,50544,"Not Given","Rob Bishop",N00025292,H2UT01094,"Not Given","Not Given"
"Sanford D. Bishop, Jr.",Sanford,Bishop,D.,"Not Given",Jr.,"Not Given","Not Given","Not Given",1947-02-04,Male,B000490,400030,29339,"Sanford Bishop",Q983428,kg:/m/02554k,7697,91,26194,26817,"Not Given","Not Given",N00002674,H2GA02031,"Not Given","Not Given"
"Marsha Blackburn",Marsha,Blackburn,W.,"Not Given","Not Given","Not Given","Not Given","Not Given",1952-06-06,Female,B001243,400032,20351,"Marsha Blackburn",Q458971,kg:/m/01fnkt,10385,1748,31226,25186,S396,"Marsha Blackburn",N00003105,H2TN06030,S8TN00337,"Not Given"
"Eric Swalwell",Eric,Swalwell,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1980-11-16,Male,S001193,412514,21306,"Eric Swalwell",Q3466996,kg:/m/0ncq55g,NULL,2104,79729,129529,"Not Given","Eric Swalwell",N00033508,H2CA15094,"Not Given","Not Given"
"Earl Blumenauer",Earl,Blumenauer,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1948-08-16,Male,B000574,400033,29588,"Earl Blumenauer",Q748066,kg:/m/033tw8,9518,99,43809,367,"Not Given","Earl Blumenauer",N00007727,H6OR03064,"Not Given","Not Given"
"Richard Blumenthal",Richard,Blumenthal,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1946-02-13,Male,B001277,412490,41101,"Richard Blumenthal",Q2023708,kg:/m/03tg8m,NULL,2076,21799,1568,S341,"Richard Blumenthal",N00031685,S0CT00177,"Not Given","Not Given"
"Roy Blunt",Roy,Blunt,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1950-01-10,Male,B000575,400034,29735,"Roy Blunt",Q1525924,kg:/m/034fn4,9520,1464,45465,418,S342,"Roy Blunt",N00005195,H6MO07128,S0MO00183,"Not Given"
"John Boozman",John,Boozman,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1950-12-10,Male,B001236,400040,20101,"John Boozman",Q1344707,kg:/m/024s3v,10372,1687,92069,27958,S343,"John Boozman",N00013873,H2AR03176,S0AR00150,"Not Given"
"Kevin Brady",Kevin,Brady,P.,"Not Given","Not Given","Not Given","Not Given","Not Given",1955-04-11,Male,B000755,400046,29760,"Kevin Brady",Q472241,kg:/m/03tq00,9754,1468,45749,361,"Not Given","Not Given",N00005883,H6TX08100,"Not Given","Not Given"
"Norma J. Torres",Norma,Torres,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1965-04-04,Female,T000474,412617,21508,"Norma Torres",Q3343727,kg:/m/03wd1hs,15032410409,2231,76129,71284,"Not Given","Not Given",N00036107,H4CA35031,"Not Given","Not Given"
"Mo Brooks",Mo,Brooks,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1954-04-29,Male,B001274,412395,21193,"Mo Brooks",Q1941306,kg:/m/0c3xdjf,10438,1987,94888,121610,"Not Given","Mo Brooks",N00030910,H0AL05163,"Not Given","Not Given"
"Vern Buchanan",Vern,Buchanan,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1951-05-08,Male,B001260,412196,20709,"Vern Buchanan",Q2517229,kg:/m/0gtjsp,10419,1840,1021626,66247,"Not Given","Vern Buchanan",N00027626,H6FL13148,"Not Given","Not Given"
"Larry Bucshon",Larry,Bucshon,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1962-05-31,Male,B001275,412427,21132,"Larry Bucshon",Q944286,kg:/m/0dd9k_y,10439,2018,61837,120335,"Not Given","Larry Bucshon",N00031227,H0IN08114,"Not Given","Not Given"
"Michael C. Burgess",Michael,Burgess,C.,"Not Given","Not Given","Not Given","Not Given","Not Given",1950-12-23,Male,B001248,400052,20355,"Michael C. Burgess",Q539521,kg:/m/03tq8_,10395,1751,1003620,50120,"Not Given","Not Given",N00025219,H2TX26093,"Not Given","Not Given"
"Richard Burr",Richard,Burr,M.,"Not Given","Not Given","Not Given","Not Given","Not Given",1955-11-30,Male,B001135,400054,29548,"Richard Burr",Q331278,kg:/m/03g_s9,10236,153,31054,21787,S300,"Richard Burr",N00002221,S4NC00089,H2NC05074,"Not Given"
"Lisa Blunt Rochester",Lisa,"Blunt Rochester","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1962-02-10,Female,B001303,412689,21706,"Lisa Blunt Rochester",Q26899141,kg:/g/11c3yvwbvn,NULL,NULL,104772,173249,"Not Given","Not Given",N00038414,H6DE00206,"Not Given","Not Given"
"G. K. Butterfield",George,Butterfield,Kenneth,G.K.,Jr.,"Not Given","Not Given","Not Given",1947-04-27,Male,B001251,400616,20340,"G. K. Butterfield",Q983532,kg:/m/03g_pq,10401,1761,1013540,41077,"Not Given","G.K. Butterfield",N00027035,H4NC01046,"Not Given","Not Given"
"Ken Calvert",Ken,Calvert,S.,"Not Given","Not Given","Not Given","Not Given","Not Given",1953-06-08,Male,C000059,400057,29323,"Ken Calvert",Q538978,kg:/m/024xl1,10517,165,26709,26777,"Not Given","Not Given",N00007099,H2CA37023,"Not Given","Not Given"
"Shelley Moore Capito",Shelley,Capito,Moore,"Not Given","Not Given","Not Given","Not Given","Not Given",1953-11-26,Female,C001047,400061,20146,"Shelley Moore Capito",Q459618,kg:/m/024pwq,11762,1676,83737,11701,S372,"Shelley Moore Capito",N00009771,H0WV02138,S4WV00159,"Not Given"
"Andr�� Carso",Andr�,Carson,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1974-10-16,Male,C001072,412258,20757,"Andr�� Carso",Q517649,kg:/m/03qcvz1,11806,1889,1027364,84917,"Not Given","Andre Carson",N00029513,H8IN07184,"Not Given","Not Given"
"Paul A. Gosar",Paul,Gosar,A.,"Not Given","Not Given","Not Given","Not Given","Not Given",1958-11-22,Male,G000565,412397,21103,"Paul Gosar",Q2059832,kg:/m/0czdqz0,14283,1992,62470,123491,"Not Given","Paul Gosar",N00030771,H0AZ01259,"Not Given","Not Given"
"John R. Carter",John,Carter,R.,"Not Given","Not Given","Not Given","Not Given","Not Given",1941-11-06,Male,C001051,400068,20356,"John Carter (Texas politician)",Q369814,kg:/m/04m7rg,11770,1752,1004257,49296,"Not Given","John Carter",N00025095,H2TX31044,"Not Given","Not Given"
"Bill Cassidy",Bill,Cassidy,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1957-09-28,Male,C001075,412269,20919,"Bill Cassidy",Q861999,kg:/m/0286t7r,11811,1925,1030546,69494,S373,"Bill Cassidy",N00030245,H8LA00017,S4LA00107,"Not Given"
"Kathy Castor",Kathy,Castor,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1966-08-20,Female,C001066,412195,20708,"Kathy Castor",Q458492,kg:/m/0dq1v6,11796,1839,1022874,53825,"Not Given","Kathy Castor",N00027514,H6FL11126,H6FL11134,"Not Given"
"Steve Chabot",Steve,Chabot,J.,"Not Given","Not Given","Not Given","Not Given","Not Given",1953-01-22,Male,C000266,400071,29550,"Steve Chabot",Q506694,kg:/m/0343vk,10791,186,36705,21790,"Not Given","Steve Chabot",N00003689,H8OH01043,"Not Given","Not Given"
"Judy Chu",Judy,Chu,M.,"Not Given","Not Given","Not Given","Not Given","Not Given",1953-07-07,Female,C001080,412379,20955,"Judy Chu",Q460035,kg:/m/0krsk2,11820,1970,92573,16539,"Not Given","Judy Chu",N00030600,H0CA32101,"Not Given","Not Given"
"Jes��s G."Chuy" Garc��",Jes��,Garc��,G.,"Not Given","Not Given","Not Given","Not Given","Not Given",1956-04-12,Male,G000586,412774,21921,"Jes��s"Chuy" Garc��",Q18631698,kg:/m/012c8r5x,NULL,NULL,NULL,6261,"Not Given","Not Given",N00042114,H8IL04134,"Not Given","Not Given"
"David N. Cicilline",David,Cicilline,N.,"Not Given","Not Given","Not Given","Not Given","Not Given",1961-07-15,Male,C001084,412470,21172,"David Cicilline",Q938498,kg:/m/04t97v,11826,2055,1033865,7349,"Not Given","David N. Cicilline",N00032019,H0RI01073,"Not Given","Not Given"
"Yvette D. Clarke",Yvette,Clarke,D.,"Not Given","Not Given","Not Given","Not Given","Not Given",1964-11-21,Female,C001067,412221,20733,"Yvette Clarke",Q461679,kg:/m/06h90t,11798,1864,1022875,44741,"Not Given","Yvette D. Clarke",N00026961,H4NY11138,"Not Given","Not Given"
"Wm. Lacy Clay",Wm.,Clay,Lacy,"Not Given",Jr.,"Not Given","Not Given","Not Given",1956-07-27,Male,C001049,400074,20147,"Lacy Clay",Q959455,kg:/m/024vjr,11766,1654,88332,8967,"Not Given","William Lacy Clay",N00012460,H0MO01066,"Not Given","Not Given"
"Emanuel Cleaver",Emanuel,Cleaver,"Not Given","Not Given",II,"Not Given","Not Given","Not Given",1944-10-26,Male,C001061,400639,20517,"Emanuel Cleaver",Q1334654,kg:/m/04cbbm,11786,1790,10933,39507,"Not Given","Not Given",N00026790,H4MO05234,"Not Given","Not Given"
"James E. Clyburn",James,Clyburn,E.,Jim,"Not Given","Not Given","Not Given","Not Given",1940-07-21,Male,C000537,400075,39301,"Jim Clyburn",Q1289889,kg:/m/03c469,11119,208,21607,27066,"Not Given","James E. Clyburn",N00002408,H2SC02042,"Not Given","Not Given"
"Steve Cohen",Steve,Cohen,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1949-05-24,Male,C001068,412236,20748,"Steve Cohen",Q512330,kg:/m/04l8cr,11800,1878,1022876,24340,"Not Given","Not Given",N00003225,H6TN09068,"Not Given","Not Given"
"Tom Cole",Tom,Cole,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1949-04-28,Male,C001053,400077,20344,"Tom Cole",Q173839,kg:/m/03tqb0,11774,1742,1003609,46034,"Not Given","Tom Cole",N00025726,H2OK04055,"Not Given","Not Given"
"K. Michael Conaway",K.,Conaway,Michael,"Not Given","Not Given","Not Given","Not Given","Not Given",1948-06-11,Male,C001062,400655,20531,"Mike Conaway",Q538944,kg:/m/04cmt7,11788,1805,1004595,49935,"Not Given","Mike Conaway",N00026041,H4TX19136,H3TX19021,"Not Given"
"Gerald E. Connolly",Gerald,Connolly,E.,"Not Given","Not Given","Not Given","Not Given","Not Given",1950-03-30,Male,C001078,412272,20952,"Gerry Connolly",Q1514859,kg:/m/04f40kn,11817,1959,1015936,95078,"Not Given","Not Given",N00029891,H8VA11062,"Not Given","Not Given"
"Henry Cuellar",Henry,Cuellar,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1955-09-19,Male,C001063,400657,20533,"Henry Cuellar",Q539562,kg:/m/04clj6,11790,1807,1013062,5486,"Not Given","Not Given",N00024978,H2TX23082,"Not Given","Not Given"
"Jim Cooper",Jim,Cooper,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1954-06-19,Male,C000754,400081,15019,"Jim Cooper",Q973737,kg:/m/03tm2p,11401,231,1201,48891,"Not Given","Jim Cooper",N00003132,H2TN05131,H2TN04027,"S4TN00096"
"Jim Costa",Jim,Costa,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1952-04-13,Male,C001059,400618,20501,"Jim Costa",Q675869,kg:/m/04chm2,11782,1774,19599,3577,"Not Given","Not Given",N00026341,H4CA20082,"Not Given","Not Given"
"Joe Courtney",Joe,Courtney,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1953-04-06,Male,C001069,412193,20706,"Joe Courtney (politician)",Q434470,kg:/m/0700nd,11802,1836,1021284,30333,"Not Given","Joe Courtney",N00024842,H2CT02112,"Not Given","Not Given"
"Mike Crapo",Michael,Crapo,D.,"Not Given","Not Given","Not Given","Not Given","Not Given",1951-05-20,Male,C000880,300030,29345,"Mike Crapo",Q734319,kg:/m/021pgp,11556,250,26440,26830,S266,"Mike Crapo",N00006267,S8ID00027,H2ID02034,"Not Given"
"John Reed",John,Reed,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,R000120,409100,7788,"John Reed Sr.",Q1701549,kg:/m/0cj8ly,20229,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Eric A. "Rick" Crawford",Eric,Crawford,A.,Rick,"Not Given","Not Given","Not Given","Not Given",1966-01-22,Male,C001087,412400,21106,"Rick Crawford (politician)",Q2151554,kg:/m/0czb3pp,11831,1989,623259,119208,"Not Given","Rick Crawford",N00030770,H0AR01083,"Not Given","Not Given"
"Sean Casten",Sean,Casten,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1971-11-23,Male,C001117,412775,21906,"Sean Casten",Q55386655,,NULL,NULL,NULL,NULL,"Not Given","Not Given",N00041338,H8IL06139,"Not Given","Not Given"
"Danny K. Davis",Danny,Davis,K.,"Not Given","Not Given","Not Given","Not Given","Not Given",1941-09-06,Male,D000096,400093,29717,"Danny K. Davis",Q1164657,kg:/m/0256k7,11949,1477,44325,233,"Not Given","Danny K. Davis",N00004884,H4IL07037,"Not Given","Not Given"
"Susan A. Davis",Susan,Davis,A.,"Not Given","Not Given","Not Given","Not Given","Not Given",1944-04-13,Female,D000598,400097,20108,"Susan Davis (politician)",Q460675,kg:/m/024xs5,12571,1641,85595,8168,"Not Given","Not Given",N00009604,H0CA49055,"Not Given","Not Given"
"Peter A. DeFazio",Peter,DeFazio,A.,"Not Given","Not Given","Not Given","Not Given","Not Given",1947-05-27,Male,D000191,400100,15410,"Peter DeFazio",Q1758507,kg:/m/033ttx,12068,279,6068,27037,"Not Given","Peter DeFazio",N00007781,H6OR04047,S6OR00151,"Not Given"
"Diana DeGette",Diana,DeGette,L.,"Not Given","Not Given","Not Given","Not Given","Not Given",1957-07-29,Female,D000197,400101,29710,"Diana DeGette",Q437159,kg:/m/024z95,12076,1479,90293,561,"Not Given","Diana DeGette",N00006134,H6CO01141,"Not Given","Not Given"
